candidate_id,perturbation_family,d_nm,theta_deg,psi_deg,J1_L_nm,J1_W_nm,J2_L_nm,J2_W_nm,wavelength_nm,input_linear_basis,expected_output_fsp_path,extraction_output_path,fresh_run
BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89,BW2-B size micro-perturbation,194.0,90.0,97.0,229,99,179,89,450.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89_450NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89\450nm_y.json,planned_true_not_run
BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89,BW2-B size micro-perturbation,194.0,90.0,97.0,229,99,179,89,452.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89_452NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89\452nm_x.json,planned_true_not_run
BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89,BW2-B size micro-perturbation,194.0,90.0,97.0,229,99,179,89,452.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89_452NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89\452nm_y.json,planned_true_not_run
BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89,BW2-B size micro-perturbation,194.0,90.0,97.0,229,99,179,89,453.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89_453NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89\453nm_x.json,planned_true_not_run
BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89,BW2-B size micro-perturbation,194.0,90.0,97.0,229,99,179,89,453.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89_453NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89\453nm_y.json,planned_true_not_run
BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89,BW2-B size micro-perturbation,194.0,90.0,97.0,229,99,179,89,454.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89_454NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89\454nm_x.json,planned_true_not_run
BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89,BW2-B size micro-perturbation,194.0,90.0,97.0,229,99,179,89,454.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89_454NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89\454nm_y.json,planned_true_not_run
BW2_J1J2_D195_T90_PSI98_H525,BW2-C right-shifted local candidate,195,90.0,98,230.0,100.0,180.0,90.0,448.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D195_T90_PSI98_H525\BW2_J1J2_D195_T90_PSI98_H525_448NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D195_T90_PSI98_H525\448nm_x.json,planned_true_not_run
BW2_J1J2_D195_T90_PSI98_H525,BW2-C right-shifted local candidate,195,90.0,98,230.0,100.0,180.0,90.0,448.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D195_T90_PSI98_H525\BW2_J1J2_D195_T90_PSI98_H525_448NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D195_T90_PSI98_H525\448nm_y.json,planned_true_not_run
BW2_J1J2_D195_T90_PSI98_H525,BW2-C right-shifted local candidate,195,90.0,98,230.0,100.0,180.0,90.0,450.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D195_T90_PSI98_H525\BW2_J1J2_D195_T90_PSI98_H525_450NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D195_T90_PSI98_H525\450nm_x.json,planned_true_not_run
BW2_J1J2_D195_T90_PSI98_H525,BW2-C right-shifted local candidate,195,90.0,98,230.0,100.0,180.0,90.0,450.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D195_T90_PSI98_H525\BW2_J1J2_D195_T90_PSI98_H525_450NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D195_T90_PSI98_H525\450nm_y.json,planned_true_not_run
BW2_J1J2_D195_T90_PSI98_H525,BW2-C right-shifted local candidate,195,90.0,98,230.0,100.0,180.0,90.0,452.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D195_T90_PSI98_H525\BW2_J1J2_D195_T90_PSI98_H525_452NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D195_T90_PSI98_H525\452nm_x.json,planned_true_not_run
BW2_J1J2_D195_T90_PSI98_H525,BW2-C right-shifted local candidate,195,90.0,98,230.0,100.0,180.0,90.0,452.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D195_T90_PSI98_H525\BW2_J1J2_D195_T90_PSI98_H525_452NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D195_T90_PSI98_H525\452nm_y.json,planned_true_not_run
BW2_J1J2_D195_T90_PSI98_H525,BW2-C right-shifted local candidate,195,90.0,98,230.0,100.0,180.0,90.0,453.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D195_T90_PSI98_H525\BW2_J1J2_D195_T90_PSI98_H525_453NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D195_T90_PSI98_H525\453nm_x.json,planned_true_not_run
BW2_J1J2_D195_T90_PSI98_H525,BW2-C right-shifted local candidate,195,90.0,98,230.0,100.0,180.0,90.0,453.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D195_T90_PSI98_H525\BW2_J1J2_D195_T90_PSI98_H525_453NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D195_T90_PSI98_H525\453nm_y.json,planned_true_not_run
BW2_J1J2_D195_T90_PSI98_H525,BW2-C right-shifted local candidate,195,90.0,98,230.0,100.0,180.0,90.0,454.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D195_T90_PSI98_H525\BW2_J1J2_D195_T90_PSI98_H525_454NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D195_T90_PSI98_H525\454nm_x.json,planned_true_not_run
BW2_J1J2_D195_T90_PSI98_H525,BW2-C right-shifted local candidate,195,90.0,98,230.0,100.0,180.0,90.0,454.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D195_T90_PSI98_H525\BW2_J1J2_D195_T90_PSI98_H525_454NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D195_T90_PSI98_H525\454nm_y.json,planned_true_not_run
BW2_J1J2_D196_T90_PSI98_H525,BW2-C right-shifted local candidate,196,90.0,98,230.0,100.0,180.0,90.0,448.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196_T90_PSI98_H525\BW2_J1J2_D196_T90_PSI98_H525_448NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196_T90_PSI98_H525\448nm_x.json,planned_true_not_run
BW2_J1J2_D196_T90_PSI98_H525,BW2-C right-shifted local candidate,196,90.0,98,230.0,100.0,180.0,90.0,448.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196_T90_PSI98_H525\BW2_J1J2_D196_T90_PSI98_H525_448NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196_T90_PSI98_H525\448nm_y.json,planned_true_not_run
BW2_J1J2_D196_T90_PSI98_H525,BW2-C right-shifted local candidate,196,90.0,98,230.0,100.0,180.0,90.0,450.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196_T90_PSI98_H525\BW2_J1J2_D196_T90_PSI98_H525_450NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196_T90_PSI98_H525\450nm_x.json,planned_true_not_run
BW2_J1J2_D196_T90_PSI98_H525,BW2-C right-shifted local candidate,196,90.0,98,230.0,100.0,180.0,90.0,450.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196_T90_PSI98_H525\BW2_J1J2_D196_T90_PSI98_H525_450NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196_T90_PSI98_H525\450nm_y.json,planned_true_not_run
BW2_J1J2_D196_T90_PSI98_H525,BW2-C right-shifted local candidate,196,90.0,98,230.0,100.0,180.0,90.0,452.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196_T90_PSI98_H525\BW2_J1J2_D196_T90_PSI98_H525_452NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196_T90_PSI98_H525\452nm_x.json,planned_true_not_run
BW2_J1J2_D196_T90_PSI98_H525,BW2-C right-shifted local candidate,196,90.0,98,230.0,100.0,180.0,90.0,452.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196_T90_PSI98_H525\BW2_J1J2_D196_T90_PSI98_H525_452NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196_T90_PSI98_H525\452nm_y.json,planned_true_not_run
BW2_J1J2_D196_T90_PSI98_H525,BW2-C right-shifted local candidate,196,90.0,98,230.0,100.0,180.0,90.0,453.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196_T90_PSI98_H525\BW2_J1J2_D196_T90_PSI98_H525_453NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196_T90_PSI98_H525\453nm_x.json,planned_true_not_run
BW2_J1J2_D196_T90_PSI98_H525,BW2-C right-shifted local candidate,196,90.0,98,230.0,100.0,180.0,90.0,453.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196_T90_PSI98_H525\BW2_J1J2_D196_T90_PSI98_H525_453NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196_T90_PSI98_H525\453nm_y.json,planned_true_not_run
BW2_J1J2_D196_T90_PSI98_H525,BW2-C right-shifted local candidate,196,90.0,98,230.0,100.0,180.0,90.0,454.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196_T90_PSI98_H525\BW2_J1J2_D196_T90_PSI98_H525_454NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196_T90_PSI98_H525\454nm_x.json,planned_true_not_run
BW2_J1J2_D196_T90_PSI98_H525,BW2-C right-shifted local candidate,196,90.0,98,230.0,100.0,180.0,90.0,454.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196_T90_PSI98_H525\BW2_J1J2_D196_T90_PSI98_H525_454NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196_T90_PSI98_H525\454nm_y.json,planned_true_not_run
